word,original,pos,accent,note,source
かざる・かぎらん,限る,五段,HHH・HHHH（近世近畿・紀州龍神・阿波・土佐）HLL・HHLL,,甲種日本語アクセント辞典
かし,貸し,,HH,,近畿日本語アクセント辞典
かしこい,賢い,形,HHLL,,近畿日本語アクセント辞典
かしはら,橿原,地名,HHHH,,近畿日本語アクセント辞典
かしゅ,歌手,Noun,HL,,Wikibooks
かしわ,柏,名,LHL,,近畿日本語アクセント辞典
かじ,楫・梶,名,HL,,近畿日本語アクセント辞典
かじき,梶木,名,LHL,,近畿日本語アクセント辞典
かす,貸す,,HH,,近畿日本語アクセント辞典
かすが,春日,地名,HLL,,近畿日本語アクセント辞典
かず,数,名,LH,,近畿日本語アクセント辞典
かぜ,風・風邪,名,HH,,近畿日本語アクセント辞典
かぞえる,数へる,下一段,HHHH,,近畿日本語アクセント辞典
かぞく,家族,Noun,HLL,,Wikibooks
かた,型,名,HL,,近畿日本語アクセント辞典
かたい,固い,形,HLL,,近畿日本語アクセント辞典
かたげる,担げる・傾げる,下一段,HHHH,,近畿日本語アクセント辞典
かたづけ,片付け,名スル,HHHL,,近畿日本語アクセント辞典
かたづける,片付ける,下一段,HHHHH,,近畿日本語アクセント辞典
かたな,刀,名,HHL,LHL・HLLも許容。,近畿日本語アクセント辞典
かたの,交野,地名,LHL,,近畿日本語アクセント辞典
かたまる,固まる,五段,HHHH,,近畿日本語アクセント辞典
かたむく,傾く,五段,HHHH,,近畿日本語アクセント辞典
かたわ,片輪,名,LHL,,近畿日本語アクセント辞典
かたカナ,片仮名,名,LLHL,,近畿日本語アクセント辞典
かたギ,堅気,形動・名,HHH,,近畿日本語アクセント辞典
かち,勝ち,名,HH,,近畿日本語アクセント辞典
かちまけ,勝ち負け,名,LHLL,,近畿日本語アクセント辞典
かちょう,課長,Noun,HL,,Wikibooks
かって,勝手,形動・名,HHH,,近畿日本語アクセント辞典
かつ,且つ,接,HL,,近畿日本語アクセント辞典
かつお,鰹,名,HHH,,近畿日本語アクセント辞典
かつて,嘗て,副,HLL,,近畿日本語アクセント辞典
かつどう,活動,"Noun, Irregular verb",HHHH,,Wikibooks
かつらぎ,葛城,地名,HHHH,,近畿日本語アクセント辞典
かて,糧,名,HL,,近畿日本語アクセント辞典
かてい,家庭,Noun,LLH,,Wikibooks
かど,角・門,名,LH,,近畿日本語アクセント辞典
かどま,門真,地名,LHL,,近畿日本語アクセント辞典
かなう,叶ふ・敵ふ・適ふ,五段,HHH,,近畿日本語アクセント辞典
かなぶん,甲虫,名,LLLH,,近畿日本語アクセント辞典
かならず,必ず,Adverb,LLHL,,Wikibooks
かなり,可也,副・名,LHL,,近畿日本語アクセント辞典
かなん,,連語(俗),HLL,,近畿日本語アクセント辞典
かに,蟹,名,HH,,近畿日本語アクセント辞典
かね,金,名,HH,,近畿日本語アクセント辞典
かねたたき,鉦叩,名,HHHLL,,近畿日本語アクセント辞典
かねる,兼ねる,下一段,LLH,,近畿日本語アクセント辞典
かの,彼の,代,HL,,近畿日本語アクセント辞典
かのこ,鹿の子,名,HHH,,近畿日本語アクセント辞典
かのじょ,彼女,代・名,HLL,,近畿日本語アクセント辞典
かのじょら,彼女等,Pronoun,HLLL,,Wikibooks
かび,黴,名,HH,,近畿日本語アクセント辞典
かびる,黴びる,上一段,HHH,,近畿日本語アクセント辞典
かびん,花瓶,Noun,HHH,,Wikibooks
かぶと,兜,名,LHL,,近畿日本語アクセント辞典
かぶとむし,兜虫,名,LLHLL,,近畿日本語アクセント辞典
かぶる,被る,五段,HHH,,近畿日本語アクセント辞典
かべ,壁,名,HH,,近畿日本語アクセント辞典
かま,窯・釜,名,HH,,近畿日本語アクセント辞典
かまきり,蟷螂,名,LLHL,,近畿日本語アクセント辞典
かまきりもどき,蟷螂擬,名,LLLLHLL,,近畿日本語アクセント辞典
かまど,竈,名,HHH,,近畿日本語アクセント辞典
かまどうま,竈馬,名,LLHLL,,近畿日本語アクセント辞典
かまへん,,連語,HLLL,,近畿日本語アクセント辞典
かみ,上,名,HH,,近畿日本語アクセント辞典
かみがた,上方,名,HHHH,,近畿日本語アクセント辞典
かみきりむし,髪切虫,名,LLLHLL,,近畿日本語アクセント辞典
かみだな,神棚,名,HHHH,,近畿日本語アクセント辞典
かみのけ,髪の毛,名,HHHL,,近畿日本語アクセント辞典
かみシンジン,神信心,名,HHHLLL,,近畿日本語アクセント辞典
かむ,噛む,五段,LH,,近畿日本語アクセント辞典
かむなび,神名備,名,HHHH,,近畿日本語アクセント辞典
かめ,瓶,名,LH,京都方言ではHL。こちらが古形？,近畿日本語アクセント辞典
かめへん,,連語(俗),HLLL,,近畿日本語アクセント辞典
かめむし,亀虫,名,LHLL,,近畿日本語アクセント辞典
かも,鴨,名,LH↘,,近畿日本語アクセント辞典
かもがわ,鴨川・加茂川,地名,HHHH,,近畿日本語アクセント辞典
かや,蚊帳,名,HH,,近畿日本語アクセント辞典
かゆ,粥,名,LH,,近畿日本語アクセント辞典
かよう,通ふ,五段,HHH,,近畿日本語アクセント辞典
かようび,火曜日,Noun,LHLL,,Wikibooks
から,唐,名,HL,LH↘も許容,近畿日本語アクセント辞典
からい,辛い,形,HLL,,近畿日本語アクセント辞典
からす,烏,名,LLH,山型化あり,近畿日本語アクセント辞典
からすま,烏丸,地名,LLLH,,近畿日本語アクセント辞典
からだ,体,名,HHH,,近畿日本語アクセント辞典
かり,仮,名,HH,,近畿日本語アクセント辞典
かりに,仮に,副,HHH,,近畿日本語アクセント辞典
かりる,借りる,下一段,HHH,,近畿日本語アクセント辞典
かる,借る,五段,HH,,近畿日本語アクセント辞典
かるい,軽い,形,HLL,,近畿日本語アクセント辞典
かるがるしい,軽々しい,形,HHHHLL,,近畿日本語アクセント辞典
かれ,枯れ,動名詞,HH,,近畿日本語アクセント辞典
かれけやき,枯れ欅,名,HHHLL,,近畿日本語アクセント辞典
かれた,枯れた,下一段PP,HLL,,近畿日本語アクセント辞典
かれら,彼等,Pronoun,HLL,,Wikibooks
かれる,枯れる,下一段,HHH,,近畿日本語アクセント辞典
かわ,川,名,HL,,近畿日本語アクセント辞典
かわいい,可愛い,形,HHLL,,近畿日本語アクセント辞典
かわいた,乾いた,五段PP,HHLL,,近畿日本語アクセント辞典
かわうそ,獺,名,HHHH,,近畿日本語アクセント辞典
かわかす,乾かす,五段,HHHH,,近畿日本語アクセント辞典
かわき,乾き,動名詞,HHL,,近畿日本語アクセント辞典
かわく,乾く,五段,HHH,,近畿日本語アクセント辞典
かわげら,川螻蛄,名,HHHH,,近畿日本語アクセント辞典
かわず,蛙,名,HHH,,近畿日本語アクセント辞典
かわち,河内,地名,HHH,,近畿日本語アクセント辞典
かわにな,川蜷,名,HHHH,,近畿日本語アクセント辞典
かわらまち,河原町,地名,HHHLL,,近畿日本語アクセント辞典
かわりべんたん,替わりべんたん,名,HHHHLLL,,近畿日本語アクセント辞典
かわる,変わる,五段,HHH,,近畿日本語アクセント辞典
かんがえる,考へる,下一段,HHHHH,,近畿日本語アクセント辞典
かんくう,関空,名,LHLL,元々LLLH。第2拍型へ変化,甲種日本語アクセント辞典
かんこく,韓国,Noun,HLLL,,Wikibooks
かんじ,漢字,Noun,LLH,,Wikibooks
かんじる,感じる,2-verb,HHHH,,Wikibooks
かんじる・かんしん,感じる,上一段,HHHH,,甲種日本語アクセント辞典（OCR）
かんじる・かんじん,感じる,上一段,HHHH,,甲種日本語アクセント辞典
かんぞう,肝臓,Noun,LLLH,,Wikibooks
かんたん,簡単,な-adjective,LLLH,,Wikibooks
かんとうじん,関東人,Noun,"HHHHLL, HHHLLL",,Wikibooks
かんどうする,感動する,Irregular verb,HHHHHH,,Wikibooks
かんぬし,神主,名,HLLL,,近畿日本語アクセント辞典
かんめし,神主,名,HLLL,,甲種日本語アクセント辞典
が,,格助,H,,近畿日本語アクセント辞典
がい,我意,名,HL,土佐弁,甲種日本語アクセント辞典
がいこく,外国,Noun,LLLH,,Wikibooks
がいこくじん,外国人,Noun,LLLHLL,,Wikibooks
がいぶ,外部,名,LHL,元々HLL。山型化傾向,甲種日本語アクセント辞典
ががんぼ,,名,LLLH,,近畿日本語アクセント辞典
がく,楽,名,HL,,近畿日本語アクセント辞典
がくせい,学生,Noun,HHHH,,Wikibooks
がっこう,学校,Noun,LLLH,,Wikibooks
がったい,合体,"Noun, Irregular verb",HHHH,,Wikibooks
がな,,終助,HL/LL,HLは強勢形だが、語の性格上、基本形LLは稀。,近畿日本語アクセント辞典
がまんする,我慢する,"Irregular verb, Noun",HLL HH,,Wikibooks
がもうよんチョウめ,蒲生四丁目,地名,LHLLLLLH,,近畿日本語アクセント辞典
がもよん,,地名(俗),LHLL,,近畿日本語アクセント辞典
がら,柄,名,HH,,近畿日本語アクセント辞典
がんばる,頑張る,"Verb, 1-verb, Intransitive verb",HHHH,,Wikibooks
がんばる・がんばらん,頑張る,五段,HHHH・HHHHH（近世近畿・紀州熊本・阿波・土佐）HHLL・HHHLL,,甲種日本語アクセント辞典
がんばる・がんばらん,頑張る,五段,HHHH・HHHHH（近畿近鎌・紀州雑神・阿波・土佐）HHLL・HHHLL,,甲種日本語アクセント辞典（OCR）
がタロ,河太郎,名,LHL,,近畿日本語アクセント辞典
き,黄,名,H(HH),,近畿日本語アクセント辞典
きい,紀伊,地名,HL,東京式アクセントによる同化と思われる。,近畿日本語アクセント辞典
きいろ,黄色,名,HHH,,近畿日本語アクセント辞典
きいろい,黄色い,形,HHLL,,近畿日本語アクセント辞典
きえる,消える,"Verb, 2-verb, Intransitive verb",HHH,,Wikibooks
きかい,機械,Noun,LHL,,Wikibooks
きがえる,着替える,"Verb, 2-verb, Transitive verb",HHHH,,Wikibooks
きき,利き,名,HH,,近畿日本語アクセント辞典
きぎ,木々,名,HL,,近畿日本語アクセント辞典
きぎょう,企業,Noun,HLL,,Wikibooks
きく,聞く,五段,HH,,近畿日本語アクセント辞典
きくな,菊菜,名,HHH,,近畿日本語アクセント辞典
きぐるみ,着包み,名,HHHH,,近畿日本語アクセント辞典
きけん,危険,"Noun, Adjective, な-adjective",LLH,,Wikibooks
きこえる,聞こえる,下一段,HHHH,,近畿日本語アクセント辞典
きさま,貴様,代,LLH/HHH,HHHは強調形,近畿日本語アクセント辞典
きし,岸,名,HL,,近畿日本語アクセント辞典
きじ,雉,名,HH,,近畿日本語アクセント辞典
きず,傷・疵,名,HH,,近畿日本語アクセント辞典
きせつ,季節,Noun,HLL,,Wikibooks
きそ,木曽,地名,HL,,近畿日本語アクセント辞典
きた,来た,カ変PP,HH,,近畿日本語アクセント辞典
きたあめりか,北アメリカ,Noun,HHHLLL,,Wikibooks
きたおおじ,北大路,地名,HHHHH,,近畿日本語アクセント辞典
きたない,汚い,形,HHLL,,近畿日本語アクセント辞典
きたのテンマングウ,北野天満宮,地名,LLLHHHLLL,,近畿日本語アクセント辞典
きちがい,気違ひ,名,LLHL,,近畿日本語アクセント辞典
きっさてん,喫茶店,Noun,LLHLL,,Wikibooks
きって,切手,Noun,LLH,,Wikibooks
きっぷ,切符,Noun,LLH,,Wikibooks
きつつき,啄木鳥,名,LHLL,,近畿日本語アクセント辞典
きつね,狐,名,LLH,,近畿日本語アクセント辞典
きつねウドン,狐饂飩,名,LLLHLL,派生形(けつねうろん)も同じ。,近畿日本語アクセント辞典
きづく,気づく,"Verb, 1-verb, Intransitive verb",HHH,,Wikibooks
きぬ,衣,名,LH,,近畿日本語アクセント辞典
きね,杵,名,LH,,近畿日本語アクセント辞典
きのう,昨日,名,HLL,派生形（きんの）も同様。,近畿日本語アクセント辞典
きば,牙,名,HL,,近畿日本語アクセント辞典
きび,黍,名,LH↘,,近畿日本語アクセント辞典
きまる,決まる,五段,HHH,,近畿日本語アクセント辞典
きみ,君,代,HH,,近畿日本語アクセント辞典
きみがよ,君が代,名,HHHH,,近畿日本語アクセント辞典
きみたち,君達,Pronoun,HHLL,,Wikibooks
きみら,君等,Pronoun,HHL,,Wikibooks
きめる,決める,下一段,HHH,,近畿日本語アクセント辞典
きも,肝,名,HL,,近畿日本語アクセント辞典
きもい,,形(俗),HLL,,近畿日本語アクセント辞典
きもち,気持ち,名,HHH,,近畿日本語アクセント辞典
きもの,着物,Noun,HHH,,Wikibooks
きゃつ,彼奴,名,HL,,近畿日本語アクセント辞典
きゅう,九,"Noun, Numeral",HL,,Wikibooks
きゅうきゅうしゃ,救急車,Noun,HHHLL,,Wikibooks
きゅうこう,急行,Noun,HHHH,,Wikibooks
きゅうりょう,給料,Noun,HLLL,,Wikibooks
きょう,今日,名・副,LH,,近畿日本語アクセント辞典
きょうしつ,教室,Noun,HHHH,,Wikibooks
きょうそうする,競争する,"Irregular verb, Noun",HHHH HH,,Wikibooks
きょうだい,兄弟,Noun,LHLL,,Wikibooks
きょうび,今日日,副,LHL,,近畿日本語アクセント辞典
きょく,曲,名,HH,,近畿日本語アクセント辞典
きょねん,去年,Noun,HLL,,Wikibooks
きよみず,清水,地名,HLLL,若い世代ではLHLLとも。強勢形はHHLL。,近畿日本語アクセント辞典
きらい,嫌い,"Noun, Adjective, な-adjective",HHH,,Wikibooks
きり,桐,名,HH,,近畿日本語アクセント辞典
きりぎりす,螽斯,名,LLHLL,,近畿日本語アクセント辞典
きる,着る,上一段,HH,,近畿日本語アクセント辞典
きれ,布,名,HL,,近畿日本語アクセント辞典
きれい,綺麗,"Adjective, な-adjective",HLL,,Wikibooks
きれる,切れる,下一段,LLH,,近畿日本語アクセント辞典
きわ,際,名,HL,,近畿日本語アクセント辞典
きわめて,極めて,下一段(テ),HHLL,,近畿日本語アクセント辞典
きわめる,極める,下一段,HHHH,,近畿日本語アクセント辞典
きんぞく,金属,Noun,HLLL,,Wikibooks
きんちょうする,緊張する,"Irregular verb, Noun",HHHH HH,,Wikibooks
きんてつ,近鉄,名,LHLL,元々LLLH。第2拍型へ変化。沿線外ではLLLLHも,甲種日本語アクセント辞典
きんようび,金曜日,Noun,HHHLL,,Wikibooks
ぎゅうにく,牛肉,Noun,HHHH,,Wikibooks
ぎゅうにゅう,牛乳,Noun,HHHH,,Wikibooks
ぎんいろ,銀色,Noun,HHHH,,Wikibooks
ぎんこう,銀行,Noun,HHHH,,Wikibooks
ぎんこういん,銀行員,Noun,"HHHHLL, HHHLLL",,Wikibooks
くい,悔い,名,HL,,近畿日本語アクセント辞典
くいだおれ,食い倒れ,名,LLLLH,,近畿日本語アクセント辞典
くう,食う,五段,LH,,近畿日本語アクセント辞典
くうき,空気,Noun,HLL,,Wikibooks
くき,茎,名,HL,,近畿日本語アクセント辞典
くぎ,釘,名,HH,,近畿日本語アクセント辞典
くくる,括る,五段,HHH,,近畿日本語アクセント辞典
くさ,草,名,HL,,近畿日本語アクセント辞典
くさった,腐った,五段PP,HLLL,,近畿日本語アクセント辞典
くさり,鎖,名,HHH,,近畿日本語アクセント辞典
くさる,腐る,五段,HHH,,近畿日本語アクセント辞典
くし,櫛・串,名,HL,,近畿日本語アクセント辞典
くしくも,奇しくも,副・連語,LHLL,,近畿日本語アクセント辞典
くしカツ,串cut,名,LLLH,,近畿日本語アクセント辞典
くじ,籤,名,HL,,近畿日本語アクセント辞典
くじら,鯨,名,LHL,,近畿日本語アクセント辞典
くす,楠,名,LH↘,,近畿日本語アクセント辞典
くすのき,楠,名,LHLL,,近畿日本語アクセント辞典
くすり,薬,名,LHL,,近畿日本語アクセント辞典
くず,葛,名,LH,,近畿日本語アクセント辞典
くずは,樟葉,地名,HLL,,近畿日本語アクセント辞典
くだ,管,名,LH,,近畿日本語アクセント辞典
ください,下さい,Expression,HHLL,,Wikibooks
くださる,下さる,五段,HHHH,,近畿日本語アクセント辞典
くだす,下す,五段,HHH,,近畿日本語アクセント辞典
くだもの,果物,名,LLHL/LHLL,二つの型が混在。詳細は未詳だが、現時点ではLHLLが主流。,近畿日本語アクセント辞典
くだらん,下らん,連語,HHLL,通則ではHHHHだが、異型HHLLの方が一般的。,近畿日本語アクセント辞典
くだる,下る,五段,HHH,,近畿日本語アクセント辞典
くち,口,名,HH,,近畿日本語アクセント辞典
くちなわ,蛇,名,HHHH,,近畿日本語アクセント辞典
くちる,朽ちる,上一段,LLH,,近畿日本語アクセント辞典
くつ,靴,名,HL,,近畿日本語アクセント辞典
くつした,靴下,Noun,LHLL,,Wikibooks
くつわむし,轡虫,名,HHHLL,,近畿日本語アクセント辞典
くど,竈,名,HL,,近畿日本語アクセント辞典
くに,国,名,HH,,近畿日本語アクセント辞典
くねる,,五段,HHH,,近畿日本語アクセント辞典
くび,首・馘,名,HH,,近畿日本語アクセント辞典
くびきりぎす,首切蟀,名,HHHLLL,,近畿日本語アクセント辞典
くぼち,窪地,名,HHH,,近畿日本語アクセント辞典
くま,熊,名,HL,,近畿日本語アクセント辞典
くまばち,熊蜂,名,LHLL,,近畿日本語アクセント辞典
くみ,組,名,HL,,近畿日本語アクセント辞典
くみあい,組合,名,LLLH,,近畿日本語アクセント辞典
くむ,組む,五段,LH,,近畿日本語アクセント辞典
くも,雲,名,LH,,近畿日本語アクセント辞典
くもり,曇り,Noun,LHL,,Wikibooks
くもる,曇る,"Verb, 1-verb, Intransitive verb",HHH,,Wikibooks
くやしい,悔しい,形,HHLL,,近畿日本語アクセント辞典
くら,鞍,名,HL,,近畿日本語アクセント辞典
くらい,位,名,HHH,,近畿日本語アクセント辞典
くらう,食らふ,五段,HHH,,近畿日本語アクセント辞典
くらげ,海月,名,LHL,,近畿日本語アクセント辞典
くらはし,倉橋,地名,LHLL,元来はHLLL?いずれにせよ不自然なアクセント型である。,近畿日本語アクセント辞典
くらべる,比べる,"Verb, 2-verb, Transitive verb",HHHH,,Wikibooks
くり,栗,名,HL,,近畿日本語アクセント辞典
くりだす,繰り出す,五段,LLLH,,近畿日本語アクセント辞典
くりや,厨,名,HHH,,近畿日本語アクセント辞典
くる,来る,カ変,LH,,近畿日本語アクセント辞典
くるう,狂ふ,五段,HHH,,近畿日本語アクセント辞典
くるうた,狂ふた,五段PP,HHLL,,近畿日本語アクセント辞典
くるしい,苦しい,形,HHLL,,近畿日本語アクセント辞典
くるしむ,苦しむ,五段,HHHH,,近畿日本語アクセント辞典
くるしめる,苦しめる,下一段,HHHHH,,近畿日本語アクセント辞典
くるま,車,名,HHH,,近畿日本語アクセント辞典
くるむ,包む,五段,HHH,,近畿日本語アクセント辞典
くれ,暮・晩,名,HH,,近畿日本語アクセント辞典
くれる,呉れる,五段,HHH,,近畿日本語アクセント辞典
くろ,黒,名,LH↘,,近畿日本語アクセント辞典
くろい,黒い,形,HLL,,近畿日本語アクセント辞典
くろいろ,黒色,Noun,LLLH,,Wikibooks
くわ,鍬,名,HH,,近畿日本語アクセント辞典
くわがた,鍬形,名,LHLL,,近畿日本語アクセント辞典
くわがたむし,鍬形虫,名,LLLHLL,,近畿日本語アクセント辞典
くわしい,詳しい,形,HHLL,,近畿日本語アクセント辞典
ぐじ,,名,LH↘,,近畿日本語アクセント辞典
ぐっぱー,,名,HLLL,,近畿日本語アクセント辞典
ぐみ,胡頽子・茱萸,名,HL,古くはLH,近畿日本語アクセント辞典
ぐるり,,名,HLL,山型化あり。,近畿日本語アクセント辞典
け,毛,名,H(HL),,近畿日本語アクセント辞典
けいかくする,計画する,"Irregular verb, Noun",HHHH HH,,Wikibooks
けいかん,警官,Noun,LLLH,,Wikibooks
けいさつ,警察,Noun,"HHHH, LLLH",,Wikibooks
けう,希有,名,HL,,近畿日本語アクセント辞典
けが,怪我,Noun,HL,,Wikibooks
けがす,汚す,五段,HHH,,近畿日本語アクセント辞典
けがらわしい,汚らわしい,形,HHHHLL,,近畿日本語アクセント辞典
けがれた,汚れた,下一段PP,HHLL,,近畿日本語アクセント辞典
けがれる,汚れる,下一段,HHHH,,近畿日本語アクセント辞典
けさ,今朝,名,LH,,近畿日本語アクセント辞典
けしき,景色,Noun,HLL,,Wikibooks
けしょうする,化粧する,"Irregular verb, Noun",HLL HH,,Wikibooks
けしゴム,消しgom,名,LLHL,,近畿日本語アクセント辞典
けす,消す,"Verb, 1-verb, Transitive verb",HH,,Wikibooks
けずる,削る,五段,HHH,,近畿日本語アクセント辞典
けた,桁,名,HH,,近畿日本語アクセント辞典
けだもの,獣,名,HHHH,,近畿日本語アクセント辞典
けち,,名,LH,,近畿日本語アクセント辞典
けっこう,結構,"Noun, Adverbial Noun, Adjective, な-adjective, Adverb","HLLL, LLHL",,Wikibooks
けっこん,結婚,"Noun, Suru verb",HHHH,,Wikibooks
けっこんしき,結婚式,Noun,HHHHLL,,Wikibooks
けど,,接助,LL/HL,強勢形はHL,近畿日本語アクセント辞典
けなりい,,形(俗),HHLL,,近畿日本語アクセント辞典
けなるい,,形,HHLL,,近畿日本語アクセント辞典
けむし,毛虫,名,LHL,,近畿日本語アクセント辞典
けむり,煙,名,HHH,,近畿日本語アクセント辞典
けもの,獣,名,HHH,,近畿日本語アクセント辞典
けやき,欅,名,HHH,,近畿日本語アクセント辞典
けら,螻蛄,名,HH,注意：「お」を付ける場合はLLH,近畿日本語アクセント辞典
ける,蹴る,下一段,HH,,近畿日本語アクセント辞典
けんきゅうする,研究する,"Irregular verb, Noun",HHHH HH,,Wikibooks
げいじゅつ,芸術,Noun,"LHLL, LLLH",,Wikibooks
げた,下駄,名,LH,,近畿日本語アクセント辞典
げつようび,月曜日,Noun,HHHLL,,Wikibooks
げな,,助動,LL,,近畿日本語アクセント辞典
げに,実に,副,LH,,近畿日本語アクセント辞典
げひん,下品,名形動,LHL,元々HLL。山型化傾向,甲種日本語アクセント辞典
げら,,名(俗),LH,,近畿日本語アクセント辞典
げんいん,原因,Noun,HHHH,,Wikibooks
げんかん,玄関,Noun,LHLL,,Wikibooks
げんき,元気,"Noun, Adjective, な-adjective",HLL,,Wikibooks
げんご,言語,Noun,HLL,,Wikibooks
こ,子,名,H(HH),,近畿日本語アクセント辞典
こい,恋,名,HL,,近畿日本語アクセント辞典
こいつ,,代,LLH,,近畿日本語アクセント辞典
こいぬ,子犬,Noun,HHH,,Wikibooks
こいのあらい,鯉の洗ひ,名,LHLHHH,,近畿日本語アクセント辞典
こう,,副,HH,言い切って体言的に扱うときはHL,近畿日本語アクセント辞典
こうえん,公園,Noun,HHHH,,Wikibooks
こうかんする,交換する,Irregular verb,HHHHHH,,Wikibooks
こうぎょう,工業,Noun,LHLL,,Wikibooks
こうこう,高校,名,LLHL,元々LLLH。第3拍型へ変化,甲種日本語アクセント辞典
こうさてん,交差点,Noun,LLHLL,,Wikibooks
こうじちゅう,工事中,Noun,HHHHH,,Wikibooks
こうちゃ,紅茶,Noun,"LHL, LLH",,Wikibooks
こうつう,交通,Noun,HHHH,,Wikibooks
こうはい,後輩,Noun,"HHHH, LLLH",,Wikibooks
こうばん,交番,Noun,HHHH,,Wikibooks
こえ,肥え,動名詞,LH,HLも許容。HLが古形か？,近畿日本語アクセント辞典
こえだ,小枝,名,HHH,,近畿日本語アクセント辞典
こえび,小海老,名,HHH,,近畿日本語アクセント辞典
こえる,超える,五段,HHH,,近畿日本語アクセント辞典
こおらす,凍らす,五段,HHHH,,近畿日本語アクセント辞典
こおり,氷,名,HHH,,近畿日本語アクセント辞典
こおる,凍る,五段,HHH,,近畿日本語アクセント辞典
こおろぎ,蟋蟀,名,HLLL,,近畿日本語アクセント辞典
こがねむし,黄金虫,名,LLHLL,,近畿日本語アクセント辞典
こきゅう,呼吸,Noun,LLH,,Wikibooks
こくみん,国民,Noun,HHHH,,Wikibooks
こけ,苔,名,HL,,近畿日本語アクセント辞典
こけむす,苔生す,五段,HHHH,,近畿日本語アクセント辞典
こける,転ける,下一段,HHH,,近畿日本語アクセント辞典
ここ,此処,代,LH↘,,近畿日本語アクセント辞典
ここのか,九日,Noun,HHHH,,Wikibooks
ここのつ,九つ,"Noun, Numeral","HHLL, HHHL",,Wikibooks
こころ,心,名,HLL/LHL,現在はHLLとLHLが混在し、LHLが主流になりつつある,近畿日本語アクセント辞典
こころにくい,心憎い,形,HHHHLL,,近畿日本語アクセント辞典
こさ,濃さ,名,HL,古形はHH,近畿日本語アクセント辞典
こし,腰,名,HH,,近畿日本語アクセント辞典
こす,越す・漉す,五段,HH,,近畿日本語アクセント辞典
こすい,狡い,形,HLL,,近畿日本語アクセント辞典
こする,擦る,五段,HHH,,近畿日本語アクセント辞典
こすれる,擦れる,下一段,HHHH,,近畿日本語アクセント辞典
こそ,,係助,HL,,近畿日本語アクセント辞典
こそばい,,形,HHLL,派生形(こしょばい)も同様。,近畿日本語アクセント辞典
こそばす,,五段,HHHH,派生形(こしょばす)も同様。,近畿日本語アクセント辞典
こそばゆい,,形,HHHLL,,近畿日本語アクセント辞典
こたい,固体,Noun,LLH,,Wikibooks
こたえる,答える,"Verb, 2-verb, Intransitive verb",LLLH,,Wikibooks
こだち,木立,名,HHH,,近畿日本語アクセント辞典
こちら,此方,代,LLH,,近畿日本語アクセント辞典
こっち,此方,代,LLH,,近畿日本語アクセント辞典
こと,殊,副,HL,,近畿日本語アクセント辞典
ことがら,事柄,名,HHHH,,近畿日本語アクセント辞典
ことし,今年,Noun,HHH,,Wikibooks
ことだま,言霊,名,HHHH,,近畿日本語アクセント辞典
ことなる,異なる,五段,HHHH,,近畿日本語アクセント辞典
ことに,殊に,副,HLL,,近畿日本語アクセント辞典
ことば,言葉,名,HLL,,近畿日本語アクセント辞典
ことほぎ,寿ぎ,動名詞,HHHH,,近畿日本語アクセント辞典
ことほぐ,寿ぐ,五段,HHHH,,近畿日本語アクセント辞典
ことり,小鳥,Noun,HHH,,Wikibooks
こども,子供,名,HHH,,近畿日本語アクセント辞典
こない,,形動・副,HHH,,近畿日本語アクセント辞典
こなもん,粉物,名,LLLH,,近畿日本語アクセント辞典
こねこ,子猫,Noun,HHH,,Wikibooks
この,此の,連体,HH,,近畿日本語アクセント辞典
こはだ,木膚,名,LLH,,近畿日本語アクセント辞典
こび,媚,動名詞,HL,,近畿日本語アクセント辞典
こぶ,瘤,名,LH,,近畿日本語アクセント辞典
こま,駒,名,HH,,近畿日本語アクセント辞典
こまかい,細かい,形,HHLL,派生形(こまこい)も同様。,近畿日本語アクセント辞典
こまる,困る,五段,HHH,,近畿日本語アクセント辞典
こむ,混む,五段,LH,,近畿日本語アクセント辞典
こめ,米,名,HL,注意：接頭辞「お」を付ける場合はLLH,近畿日本語アクセント辞典
こめつきむし,叩頭虫,名,HHHHLL,,近畿日本語アクセント辞典
こめる,込める,下一段,LLH,,近畿日本語アクセント辞典
こも,菰・薦,名,HH,,近畿日本語アクセント辞典
こもる,籠もる,五段,HHH,,近畿日本語アクセント辞典
こもれび,木漏れ日,名,HHHH,,近畿日本語アクセント辞典
こや,小屋,名,HH,,近畿日本語アクセント辞典
こやす,肥やす,五段,LLH,,近畿日本語アクセント辞典
こら,子等,名,HL,,近畿日本語アクセント辞典
これ,此れ,代,HH,,近畿日本語アクセント辞典
ころ,頃,名,HL,,近畿日本語アクセント辞典
ころす,殺す,五段,HHH,,近畿日本語アクセント辞典
ころも,衣,名,HHH,,近畿日本語アクセント辞典
こわい,怖い,形,HLL,,近畿日本語アクセント辞典
こわがる,怖がる,五段,HHHH,,近畿日本語アクセント辞典
こわす,壊す,五段,HHH,,近畿日本語アクセント辞典
こわれる,壊れる,下一段,HHHH,,近畿日本語アクセント辞典
こんげつ,今月,Noun,LHLL,,Wikibooks
こんしゅう,今週,Noun,LHLL,,Wikibooks
こんな,,連体,HHH,,近畿日本語アクセント辞典
こんにちは,今日は,挨拶,LHLLH,,近畿日本語アクセント辞典
こんばん,今晩,Noun,LHLL,,Wikibooks
こんばんは,,挨拶,LHLLH,HHLLHも聞かれる,甲種日本語アクセント辞典
ご,五,"Noun, Numeral",HH,,Wikibooks
ごうかくする,合格する,"Irregular verb, Noun",HHHH HH,,Wikibooks
