word,original,pos,accent,note,source
あう・あわん,合ふ・会ふ,五段,LH・LLH（近世近畿・紀州薩神・阿波・土佐）LH・HLL,,甲種日本語アクセント辞典
あお,青,名,LH↘,,近畿日本語アクセント辞典
あお,青,名,LH＼,,甲種日本語アクセント辞典（OCR）
あおい,青い,形,HLL,,近畿日本語アクセント辞典
あおいろ,青色,Noun,LLLH,,Wikibooks
あおじ,青じ,名,LLH,,近畿日本語アクセント辞典
あおじむ,青染む,五段,LLLH,,近畿日本語アクセント辞典
あおじむ・あおじまん,青染む,五段,LLLH・LLLLH,奈良方言。青あざができること。,甲種日本語アクセント辞典
あか,垢,名,HL,,近畿日本語アクセント辞典
あか,赤,名,LH＼,,甲種日本語アクセント辞典（OCR）
あかい,赤い,形,HLL,,近畿日本語アクセント辞典
あかい,赤い,形,HLL（近世近畿・紀州熊野・阿波・土佐）HHL,河内・和泉方言では「明るい」の意もある。,甲種日本語アクセント辞典（OCR）
あかい,赤い,形,HLL（近世近畿・紀州薩神・阿波・土佐）HHL,河内・和泉方言では「明るい」の意もある。,甲種日本語アクセント辞典（OCR）
あかいろ,赤色,Noun,LLLH,,Wikibooks
あかご,赤子,名,HHL,若い世代ではLHL。ただし、京都ではHHLが未だ根強い。,近畿日本語アクセント辞典
あかす,明かす,五段,HHH,,近畿日本語アクセント辞典
あかす・あかさん,明かす,五段,HHH・HHHH,,甲種日本語アクセント辞典（OCR）
あかず・あかさん,明かす,五段,HHH・HHHH,,甲種日本語アクセント辞典
あかちゃん,赤ちゃん,名,LHLL,従来形はHLLLであるが、若年層は多くがLHLLへ移行している,甲種日本語アクセント辞典
あかはた,赤旗,名,LLLH,,近畿日本語アクセント辞典
あかへん,,連語,HLLL,大阪方言「あけへん」も同じ。,近畿日本語アクセント辞典
あかり,明かり,名,HHH,,近畿日本語アクセント辞典
あかるい,明るい,形,HHLL,,近畿日本語アクセント辞典
あかん,,連語,HHH,,近畿日本語アクセント辞典
あかシート,赤sheet,名,LLHLL,,近畿日本語アクセント辞典
あかペン,赤pen,名,LLLH,,近畿日本語アクセント辞典
あがる,上がる,五段,HHH,,近畿日本語アクセント辞典
あき,安芸,地名,HL,,近畿日本語アクセント辞典
あきない,商ひ,動名詞・名,HHLL,,近畿日本語アクセント辞典
あきなう,商ふ,五段,HHHH,,近畿日本語アクセント辞典
あきらめる,諦める,"Verb, 2-verb, Transitive verb",HHHHH,,Wikibooks
あきる,飽きる,上一段,LLH,,近畿日本語アクセント辞典
あきんど,商人,名,HHHH,使用頻度の低下に伴い、東京式LHLLに交代しつつある。,近畿日本語アクセント辞典
あく,開く,五段,HH,,近畿日本語アクセント辞典
あくち,赤口,名,HHH,,近畿日本語アクセント辞典
あけ,明け,,HH,,近畿日本語アクセント辞典
あける,開ける,下一段,HHH,,近畿日本語アクセント辞典
あげ,揚げ,名,HH,注意：「お」を付ける場合はLLH,近畿日本語アクセント辞典
あげる,上げる,下一段,HHH,,近畿日本語アクセント辞典
あこ,彼処,代,LH↘,,近畿日本語アクセント辞典
あご,顎,名,LH,,近畿日本語アクセント辞典
あさ,麻,名,LH,,近畿日本語アクセント辞典
あさい,浅い,形,HLL,,近畿日本語アクセント辞典
あさごはん,朝ご飯,Noun,LLHLL,,Wikibooks
あさせ,浅瀬,名,LLH,,近畿日本語アクセント辞典
あさって,明後日,名,HHHL,,近畿日本語アクセント辞典
あざ,痣,名,HL,,近畿日本語アクセント辞典
あざむく,欺く,五段,HHHH,,近畿日本語アクセント辞典
あし,足・脚,名,HL,,近畿日本語アクセント辞典
あした,明日,,HHH,,近畿日本語アクセント辞典
